conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Prediksi_Naive_Bayes,Probabilitas_NB,Prediksi_Logistic_Regression,Probabilitas_LR
1859986705195147314,Fri Nov 22 15:46:02 +0000 2024,1,Rocky Gerung : Hanya #Risma bukan dari Oligarki https://t.co/wBJSFiu2oL #pilgubjatim,1859986705195147314,,,in,Surabaya,0,1,0,https://x.com/beritajatimcom/status/1859986705195147314,21287066,beritajatimcom,negatif,61.08%,negatif,41.77%
1859966998836605143,Fri Nov 22 14:27:43 +0000 2024,2,#TemanPemilih KPU Kota Probolinggo Menggelar Debat Publik Ketiga pada Pemilihan Wali Kota dan Wakil Wali Kota Probolinggo Tahun 2024 Kamis (21/11/2024). #kpuri #kpujatim #kpukotaprobolinggo #pilkadaserentak2024 #pilgubjatim #senengbareng #pilwalikotaprobolinggo #gaknyoblosgakjo https://t.co/aB9YZTcutx,1859966998836605143,https://pbs.twimg.com/media/Gc_uGmAaoAESR-A.jpg,,in,"Kota Probolinggo, Jawa Timur",0,0,0,https://x.com/KPUKotaProb/status/1859966998836605143,721915735279214593,KPUKotaProb,negatif,51.50%,netral,49.18%
1859927370121334948,Fri Nov 22 11:50:15 +0000 2024,0,Ada urban festival juga lho! Waktunya seru-seruan! #JatimMaju #Khofifah #JawaTimurMajuBerprestasi #EmilDardak #khofifahemil02 #PilgubJatim #DebatPilgubJatim https://t.co/uGnaXjOvIF,1859927370121334948,https://pbs.twimg.com/media/Gc_KFBpaYAA_SQM.jpg,,in,,0,0,0,https://x.com/Cokiecokieenyuu/status/1859927370121334948,1842159008016375808,Cokiecokieenyuu,negatif,65.74%,netral,38.03%
1859927082337509586,Fri Nov 22 11:49:06 +0000 2024,0,Semanggi Suroboyo siap bikin suasana makin pecah! #KonserGokilGaspoll #JatimMaju #Khofifah #JawaTimurMajuBerprestasi #EmilDardak #khofifahemil02 #PilgubJatim #DebatPilgubJatim https://t.co/Q7jnoD9t4x,1859927082337509586,https://pbs.twimg.com/media/Gc_J0AmaIAAH_WX.jpg,,in,,0,0,0,https://x.com/KalianLain/status/1859927082337509586,1561032351194697733,KalianLain,negatif,53.67%,positif,38.11%
1859926866838335984,Fri Nov 22 11:48:15 +0000 2024,0,Jumat 22 Nov 2024. Tulis di kalender jangan sampai ketinggalan! #KonserGaspoll #JatimMaju #Khofifah #JawaTimurMajuBerprestasi #EmilDardak #khofifahemil02 #PilgubJatim #DebatPilgubJatim https://t.co/AALW5euL0Q,1859926866838335984,https://pbs.twimg.com/media/Gc_Jn4JbsAAkrCz.jpg,,in,,0,0,0,https://x.com/golonganpemuda/status/1859926866838335984,1834546620542615552,golonganpemuda,positif,59.83%,positif,41.58%
1859926251844288654,Fri Nov 22 11:45:48 +0000 2024,0,Gak sabar nge-Gas bareng di DBL Arena! #KonserGokilGaspoll #JatimMaju #Khofifah #JawaTimurMajuBerprestasi #EmilDardak #khofifahemil02 #PilgubJatim #DebatPilgubJatim https://t.co/4eCTaGwZn4,1859926251844288654,https://pbs.twimg.com/media/Gc_JEFkagAAr3fY.jpg,,in,,0,0,0,https://x.com/Meimeirasyaptr/status/1859926251844288654,1833666667504877568,Meimeirasyaptr,positif,63.72%,positif,55.73%
1859859435373592850,Fri Nov 22 07:20:18 +0000 2024,0,Sebagai respons terhadap insiden tersebut Heraldha menegaskan pentingnya menjaga suasana kampanye yang damai dan kondusif. Ia mengimbau masyarakat bersikap positif dalam proses demokrasi ini. #JatimMaju #Khofifah #EmilDardak #khofifahemil02 #PilgubJatim #DebatPilgubJatim https://t.co/k9gSec2UfR,1859859435373592850,https://pbs.twimg.com/media/Gc-LP7JaAAE8gy_.jpg,,in,,0,0,0,https://x.com/vhaniiaa_/status/1859859435373592850,2759034869,vhaniiaa_,positif,66.06%,positif,60.32%
1859858247467008165,Fri Nov 22 07:15:35 +0000 2024,0,Jubir muda pasangan calon di Pilgub Jatim nomor urut 2 Khofifah Indar Parawansa-Emil Elestianto Dardak Heraldha Savira menanggapi laporan aksi vandalisme yang terjadi pada atribut kampanye mereka #JatimMaju #Khofifah #EmilDardak #khofifahemil02 #PilgubJatim #DebatPilgubJatim https://t.co/tAIQvsL3Q6,1859858247467008165,https://pbs.twimg.com/media/Gc-LOEcaAAYnOBk.jpg,,in,indonesia ,0,0,0,https://x.com/mznvkkojgytkv/status/1859858247467008165,788657900335923200,mznvkkojgytkv,positif,61.91%,positif,49.51%
1859858078310777046,Fri Nov 22 07:14:55 +0000 2024,0,Jubir muda pasangan calon di Pilgub Jatim nomor urut 2 Khofifah Indar Parawansa-Emil Elestianto Dardak Heraldha Savira menanggapi laporan aksi vandalisme yang terjadi pada atribut kampanye mereka. #JatimMaju #Khofifah #EmilDardak #khofifahemil02 #PilgubJatim #DebatPilgubJatim https://t.co/6EGcio1BfI,1859858078310777046,https://pbs.twimg.com/media/Gc-LEPtaAAAC-1Q.jpg,,in,"Bekasi Timur, Indonesia",0,0,0,https://x.com/CharitaMed6498/status/1859858078310777046,1728522479813955584,CharitaMed6498,positif,61.91%,positif,49.51%
1859854535478607980,Fri Nov 22 07:00:50 +0000 2024,0,Jubir muda pasangan calon di Pilgub Jatim nomor urut 2 Khofifah Indar Parawansa-Emil Elestianto Dardak Heraldha Savira menanggapi laporan aksi vandalisme yang terjadi pada atribut kampanye mereka. #JatimMaju #Khofifah #EmilDardak #khofifahemil02 #PilgubJatim #DebatPilgubJatim https://t.co/Woqib47orQ,1859854535478607980,https://pbs.twimg.com/media/Gc-H2A9bgAATLkm.jpg,,in,indonesia,0,0,0,https://x.com/dewiwatiines/status/1859854535478607980,765798371357523970,dewiwatiines,positif,61.91%,positif,49.51%
